"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";
"1";"";"AK500/2";"AK500/2";"X1";"CONNECTOR";"";"";"unknown";"unknown";"";
"2";"";"PINHD-1X4";"1X04";"JP1, JP2";"PIN HEADER";"";"";"";"";"";
"1";"";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS1";"WeMos.cc";"";"";"";"";"";
"1";"100n";"C-EU050-024X044";"C050-024X044";"C1";"CAPACITOR, European symbol";"";"";"";"";"C";
"2";"10k";"R-US_0204/7";"0204/7";"R2, R3";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"4k7";"R-US_0204/7";"0204/7";"R4";"RESISTOR, American symbol";"";"";"";"";"R";
"3";"FIDUCIAL1.5X3";"FIDUCIAL1.5X3";"FIDUCIAL-1.5X3";"JP3, JP4, JP5";"Fiducial Alignment Points";"";"";"";"";"";
"1";"HLK-PM013W";"HLK-PM013W";"HLK-PM01";"HLK1";"Hi-Link Power Supply";"";"";"";"";"";
"1";"LDR";"PHOTOCELLPTH";"PHOTOCELL";"R1";"Photocell Also known as a CdS photoresistor. This is a low cost way to detect light levels. Resistance decreases with more incoming light. SparkFun SKU: SEN-09088";"";"";"";"";"";
"1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"U$5";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
